,price_aprox_usd,surface_covered_in_m2,lat,lon,neighborhood
4598,169500.0,38.0,-34.582673,-58.4439135,Palermo
4615,178100.0,37.0,-34.5905181,-58.3886654,Recoleta
4632,93750.0,35.0,-34.6068285,-58.4276256,Almagro
4634,235000.0,84.0,-34.5732902979,-58.4314790193,Palermo
4636,94000.0,33.0,-34.5817888,-58.449509,Colegiales
4647,123000.0,40.0,-34.6047969,-58.454126,Villa Crespo
4659,124000.0,43.0,-34.5817888,-58.449509,Colegiales
4665,150000.0,70.0,-34.64835,-58.500701,Mataderos
4669,95000.0,32.0,-34.6144833,-58.4372879,Caballito
4670,77000.0,35.0,-34.6174676,-58.4378943,Caballito
4672,139900.0,60.0,-34.577468,-58.490031,Villa Urquiza
4679,162000.0,45.0,-34.5636498,-58.4653792,Belgrano
4681,149310.0,52.0,-34.6132205,-58.4412194,Caballito
4685,97500.0,39.0,-34.597713,-58.424199,Palermo
4686,110000.0,45.0,-34.617307962,-58.37515263,San Telmo
4692,89000.0,47.0,-34.633155,-58.472371,Flores
4693,78000.0,33.0,-34.5653209202,-58.4716025037,Coghlan
4697,118000.0,62.0,-34.614914,-58.37457,Monserrat
4700,110000.0,73.0,-34.626396,-58.465135,Flores
4704,118000.0,43.0,-34.5592184,-58.4660872,Belgrano
4711,254000.0,79.0,-34.5915663,-58.5068965,Villa Devoto
4714,63000.0,31.0,-34.6158913,-58.4957844,Villa del Parque
4734,67000.0,39.0,-34.613335,-58.3844801,Monserrat
4742,75000.0,38.0,-34.603471,-58.397484,Balvanera
4747,137800.0,44.0,-34.607026,-58.442438,Caballito
4775,82000.0,36.0,-34.6035914,-58.440711,Villa Crespo
4777,97000.0,42.0,-34.5754338,-58.4725369,Villa Urquiza
4781,95000.0,80.0,-34.5791176158,-58.5127033839,Villa Pueyrredón
4784,156005.41,56.0,-34.6266172,-58.4599658,Flores
4799,85000.0,45.0,-34.6202698,-58.3931932,San Cristobal
4810,84500.0,35.0,-34.61335,-58.38465,Centro / Microcentro
4820,174000.0,68.0,-34.5617581344,-58.4446591455,Belgrano
4829,158000.0,65.0,-34.6028305,-58.4887769,Villa del Parque
4831,233284.66,75.0,-34.56822,-58.458337,Belgrano
4834,157500.0,48.0,-34.6223362,-58.4348699,Caballito
4840,83000.0,68.0,-34.611306,-58.487096,Villa Santa Rita
4854,109539.0,47.0,,,San Telmo
4860,125000.0,47.0,-34.5702998,-58.4900365,Villa Urquiza
4874,138300.0,32.0,-34.56758,-58.4344,Palermo
4880,144500.0,42.0,-34.5546333,-58.4673952,Nuñez
4899,200000.0,94.0,-34.5997272,-58.4058463,Once
4902,194000.0,84.0,-34.629394,-58.506856,Monte Castro
4924,84000.0,40.0,-34.57207,-58.474729,Villa Urquiza
4929,116710.79,50.0,-34.5538467,-58.4920942,Saavedra
4940,125000.0,50.0,-34.6026102,-58.4688818,Paternal
4941,130000.0,38.0,-34.5943105,-58.3899849,Barrio Norte
4960,181000.0,54.0,-34.615626,-58.3845014,San Telmo
4962,162000.0,94.0,-34.614918,-58.373853,Monserrat
4966,99500.0,36.0,-34.5956416,-58.4096182,Palermo
4972,307000.0,80.0,-34.5864796,-58.4304316,Palermo
4975,330000.0,90.0,-34.5831888,-58.4104439,Palermo
4982,93000.0,42.0,-34.565454,-58.47375,Coghlan
4991,210000.0,70.0,-34.587509,-58.386782,Recoleta
5004,93878.49,44.0,-34.637261,-58.36907,Barracas
5009,122000.0,48.0,-34.573364,-58.480496,Villa Urquiza
5012,140000.0,54.0,-34.5735609684,-58.4585732418,Colegiales
5013,95000.0,63.0,-34.6111511,-58.3683637,Monserrat
5020,146065.0,31.0,-34.5679891,-58.4339848,Las Cañitas
5036,89000.0,50.0,-34.6347549,-58.478059,Floresta
5052,120000.0,48.0,-34.587728,-58.406951,Barrio Norte
5071,135000.0,72.0,-34.606705,-58.391341,San Nicolás
5075,158000.0,84.0,-34.613184,-58.425465,Almagro
5078,190000.0,37.0,-34.5951698271,-58.3900615127,Recoleta
5085,98000.0,34.0,-34.5527392,-58.468131,Nuñez
5087,126000.0,42.0,-34.580237,-58.458475,Colegiales
5090,116000.0,47.0,-34.5800551977,-58.4966889656,Villa Pueyrredón
5099,159500.0,66.0,-34.625307,-58.415024,Boedo
5100,195000.0,50.0,-34.5779764,-58.4231617,Palermo
5102,85118.97,42.0,-34.631591,-58.370191,Barracas
5112,119000.0,70.0,-34.6165788,-58.3916393,Monserrat
5114,64000.0,37.0,,,San Cristobal
5125,95000.0,37.0,-34.5562825,-58.4790126,Saavedra
5136,105600.0,48.0,-34.597077,-58.425186,Palermo
5141,74000.0,41.0,,,
5151,110000.0,50.0,-34.6119236451,-58.3982587534,Balvanera
5166,83900.0,50.0,-34.614868,-58.480929,Villa del Parque
5173,80000.0,38.0,-34.6067469613,-58.4088375128,Balvanera
5183,55000.0,56.0,,,Villa Lugano
5194,370000.0,85.0,-34.5777768601,-58.4242981875,Palermo
5199,144890.36,56.0,-34.6264841455,-58.460080827,Flores
5218,185000.0,84.0,-34.629394,-58.506856,Monte Castro
5220,177000.0,64.0,-34.5981592,-58.3973811,Barrio Norte
5221,155000.0,38.0,-34.593676,-58.379997,Retiro
5234,132196.83,51.0,-34.5878079,-58.4398618,Palermo
5235,95876.0,34.0,-34.5731507,-58.482362,Villa Urquiza
5258,125000.0,44.0,-34.6047861,-58.4618321,Villa Crespo
5259,195000.0,100.0,-34.6080508511,-58.394733431,Congreso
5265,75000.0,33.0,-34.6103153,-58.4084491,Balvanera
5266,162000.0,45.0,-34.5900864,-58.4202008,Palermo
5275,195000.0,59.0,-34.6113138,-58.4390404,Caballito
5279,220000.0,72.0,-34.5502714,-58.4531919,Nuñez
5303,130000.0,46.0,-34.6362315,-58.3755151,Barracas
5306,195000.0,78.0,-34.5611793,-58.4528278,Belgrano
5320,58682.0,35.0,-34.6186349,-58.478887,Flores
5324,84000.0,36.0,-34.5719526,-58.4744425,Villa Urquiza
5359,130000.0,55.0,-34.6016325511,-58.3874569455,San Nicolás
5366,136346.89,56.0,-34.626394,-58.4594467,Flores
5373,120000.0,35.0,-34.6037137392,-58.3815808896,Barrio Norte
5378,214500.0,72.0,-34.625293,-58.415027,Boedo
5380,97000.0,55.0,-34.6516134,-58.5267535,Liniers
5387,138000.0,44.0,-34.5666853,-58.4533789,Belgrano
5392,166000.0,56.0,-34.5902079,-58.4070158,Barrio Norte
5394,187000.0,52.0,-34.5765945,-58.4366908,Palermo
5412,125000.0,54.0,-34.5507808,-58.4546238,Nuñez
5430,105000.0,44.0,-34.625307,-58.415024,Boedo
5432,92000.0,41.0,-34.5920939,-58.4149529,Palermo
5437,225000.0,100.0,-34.574005,-58.452201,Colegiales
5444,118750.0,54.0,-34.6100367846,-58.4787115886,Villa Santa Rita
5458,159000.0,48.0,-34.617817,-58.41679,Almagro
5463,78000.0,32.0,-34.6057934,-58.4886936,Villa del Parque
5467,72000.0,36.0,-34.635054029,-58.5076770037,Villa Luro
5480,102000.0,55.0,-34.6346394966,-58.4687913095,Flores
5481,151200.0,62.0,-34.6540398,-58.5062386,Mataderos
5499,265000.0,100.0,-34.560254,-58.458314,Belgrano
5510,125000.0,60.0,,,
5514,74900.0,39.0,-34.6008847,-58.4041809,Barrio Norte
5528,128000.0,34.0,-34.5681247,-58.4779329,Villa Urquiza
5532,176900.0,44.0,-34.5833192,-58.4212702,Palermo
5542,115359.82,43.0,-34.6132024,-58.4330886,Caballito
5560,99500.0,61.0,-34.620746,-58.466882,Flores
5578,90000.0,55.0,-34.6032175,-58.4337376,Parque Centenario
5581,120000.0,61.0,-34.6344407,-58.4747469,Floresta
5582,79500.0,31.0,,,Congreso
5585,100000.0,34.0,-34.5859299,-58.4404055,Palermo
5593,239000.0,76.0,-34.5605920994,-58.4439501857,Belgrano
5602,75000.0,31.0,-34.5970229048,-58.4459532074,Villa Crespo
5605,77000.0,41.0,-34.6191016,-58.4415901,Caballito
5611,93000.0,43.0,-34.6374004,-58.4036222,Parque Patricios
5616,129000.0,63.0,-34.6118423,-58.4116076,Almagro
5617,165000.0,74.0,-34.6087195,-58.4310415,Almagro
5628,89200.0,39.0,-34.593858,-58.427728,Palermo
5630,83000.0,34.0,-34.5673276193,-58.4726674568,Belgrano
5632,147000.0,43.0,-34.62818,-58.429483,Caballito
5636,67800.0,47.0,-34.6188284,-58.5188057,Villa Devoto
5642,175000.0,71.0,-34.5673016,-58.4655247,Belgrano
5649,215000.0,61.0,-34.5965586611,-58.4198318965,Palermo
5668,117000.0,38.0,-34.594215,-58.417675,Palermo
5676,81000.0,41.0,-34.6191016,-58.4415901,Caballito
5677,154261.53,50.0,-34.6266572,-58.4241126,Boedo
5691,145000.0,75.0,-34.6092415,-58.3926706,Congreso
5693,160000.0,64.0,-34.5992702,-58.4166238,Abasto
5700,92200.0,46.0,,,Floresta
5702,235000.0,100.0,-34.595688,-58.4031864,Palermo
5705,59000.0,33.0,-34.6037232,-58.3815931,Centro / Microcentro
5731,75000.0,35.0,-34.5599177,-58.4451113,Belgrano
5732,112000.0,47.0,-34.5649596,-58.447231,Belgrano
5735,185000.0,90.0,-34.5982154569,-58.4272289729,Almagro
5746,240000.0,70.0,-34.5597901,-58.4600378,Belgrano
5749,73000.0,34.0,-34.6415746,-58.5184591,Liniers
5752,73000.0,38.0,-34.6253319,-58.4446144,Caballito
5761,73800.0,41.0,-34.597773,-58.448669,Villa Crespo
5764,179000.0,60.0,-34.629059,-58.452973,Caballito
5770,215000.0,60.0,-34.6206092,-58.4608419,Flores
5780,90104.31,35.0,-34.6213841573,-58.4044539951,San Cristobal
5785,175000.0,52.0,-34.5952542908,-58.391844545,Barrio Norte
5800,89000.0,38.0,-34.5688712,-58.4884216,Villa Urquiza
5803,238000.0,58.0,-34.6153103,-58.3619834,Puerto Madero
5807,70000.0,32.0,,,Villa Pueyrredón
5809,129000.0,40.0,-34.5605032026,-58.46487789,Coghlan
5811,82000.0,36.0,-34.6292633,-58.4423561,Caballito
5817,83000.0,31.0,-34.6177615,-58.383662,Monserrat
5831,196500.0,80.0,-34.59475,-58.4398737,Villa Crespo
5834,59000.0,31.0,-34.629183,-58.367205,Boca
5842,158000.0,50.0,-34.5429525535,-58.4752246958,Nuñez
5846,169500.0,43.0,-34.5564409,-58.4558606,Belgrano
5853,132000.0,45.0,-34.5838241482,-58.4746594639,Villa Urquiza
5854,69900.0,40.0,-34.615335,-58.467726,Flores
5860,96000.0,48.0,-34.6222160238,-58.3864451242,Monserrat
5865,75000.0,35.0,-34.6159959,-58.4056751,Balvanera
5867,217258.0,59.0,-34.633021,-58.370341,Barracas
5871,137500.0,46.0,,,Las Cañitas
5873,81420.0,60.0,-34.601069,-58.493689,Villa del Parque
5877,140000.0,70.0,-34.624762,-58.4874662,Floresta
5901,180000.0,65.0,-34.5696758,-58.463398,Belgrano
5903,155000.0,39.0,,,Belgrano
5906,167500.0,64.0,-34.5620844,-58.4566864,Belgrano
5913,89900.0,40.0,-34.569206,-58.485498,Villa Urquiza
5934,114000.0,35.0,-34.5691963,-58.4453972,Belgrano
5935,235000.0,91.0,-34.6158886255,-58.437963796,Caballito
5944,292666.0,100.0,-34.564511,-58.464647,Belgrano
5949,157000.0,57.0,-34.6223398871,-58.4085322312,San Cristobal
5952,135000.0,85.0,-34.6231081,-58.3969698,San Cristobal
5953,104928.77,33.0,-34.623337,-58.3977098,San Cristobal
5961,114000.0,41.0,-34.598681,-58.4824163,Agronomía
5964,180000.0,68.0,-34.5748532,-58.4351103,Palermo
5966,85000.0,47.0,-34.5788213,-58.5123951,Villa Pueyrredón
5970,215000.0,91.0,-34.5995274946,-58.4120965492,Abasto
5971,88000.0,40.0,-34.597077,-58.425186,Palermo
5977,75000.0,35.0,-34.5830851961,-58.4342109894,Palermo
5980,110000.0,52.0,-34.6000146,-58.4424739,Villa Crespo
5983,116000.0,34.0,-34.566074,-58.4370236,Belgrano
5989,210000.0,80.0,-34.6007131,-58.4202366,Almagro
5999,72000.0,33.0,-34.622464,-58.398128,San Cristobal
6008,140000.0,90.0,,,
6018,88000.0,42.0,-34.5865757741,-58.4743192617,Villa Urquiza
6028,106000.0,40.0,-34.58306,-58.425668,Palermo
6029,65000.0,42.0,-34.6185154136,-58.384250494,
6035,147668.0,50.0,-34.572721,-58.483565,Villa Urquiza
6050,200000.0,98.0,-34.63953,-58.36848,Barracas
6059,90000.0,32.0,-34.6036414,-58.4325251,Almagro
6064,74000.0,35.0,-34.5961001,-58.3725005,Barrio Norte
6068,97651.5,60.0,-34.641097,-58.520396,Villa Luro
6080,229000.0,81.0,-34.579892,-58.487256,Villa Urquiza
6082,109000.0,45.0,-34.5675,-58.4867,Villa Urquiza
6091,134000.0,46.0,-34.623771,-58.440083,Caballito
6098,85000.0,32.0,-34.5987444,-58.478377,Villa del Parque
6099,187000.0,70.0,-34.596971,-58.411897,Barrio Norte
6102,67000.0,36.0,-34.609767,-58.48096,Villa General Mitre
6113,82000.0,47.0,-34.6158792,-58.3945889,Balvanera
6119,95694.72,48.0,-34.631591,-58.370191,Barracas
6135,78000.0,35.0,-34.6093189,-58.4047408,Almagro
6142,151000.0,52.0,-34.5817888,-58.449509,Colegiales
6144,128700.0,53.0,-34.5679755,-58.4853085,Villa Urquiza
6164,106575.0,48.0,-34.5904622,-58.370987,Paternal
6165,169000.0,80.0,-34.6304379,-58.5086269,Floresta
6180,148500.0,63.0,-34.6496586,-58.4606052,Flores
6183,138000.0,58.0,-34.6037137392,-58.3815808896,Nuñez
6189,108000.0,52.0,-34.6105,-58.48767,Villa Santa Rita
6199,130000.0,59.0,-34.5815882,-58.4520274,Colegiales
6208,159000.0,67.0,-34.552501,-58.46205,Nuñez
6209,112000.0,60.0,-34.6103717723,-58.3990649863,Congreso
6212,63000.0,60.0,-34.6656633557,-58.473245464,Villa Lugano
6226,240000.0,62.0,-34.5790352,-58.4382526,Palermo
6228,114000.0,36.0,-34.5816906,-58.4433183,Palermo
6236,87000.0,40.0,-34.608967,-58.4215078,Almagro
6239,290000.0,94.0,,,Palermo
6263,89900.0,58.0,-34.603259,-58.384523,San Nicolás
6264,157000.0,79.0,-34.5502703,-58.4852938,Saavedra
6270,72000.0,32.0,,,
6271,99000.0,62.0,-34.6072024,-58.3960166,Congreso
6280,235000.0,64.0,-34.6037137392,-58.3815808896,Palermo
6286,92000.0,51.0,-34.591646,-58.511697,Villa Devoto
6289,217450.0,65.0,-34.5542242,-58.4678339,Nuñez
6290,86684.29,33.0,-34.6264374,-58.4598574,Flores
